Date,Score,Reviews
"Nov 1, 2022",NEUTRAL,"A look into our polluted world of a group of people willing to do whatever it takes to try to be rich. Gamblers and those of no integrity hustle through life looking wealthy on the outside but rotting on the inside. I've seen too much of this type in the movies and in real life. Haven't we been bored enough by these characters? Haven't we seen the horror these types have laid bare on society... especially today with a former US President who's not so different at his core... along with those who admire and suck up to this kind of shallow greed? Its not a political movie but I simply can't stomach seeing this lowliness of humanity much more. I had no empathy for anyone. Sandler did a wonderful job but I did not care one bit for him, nor should any of us however, if that was the point of making this... well done but I'm very tired of all the negativity and ugliness we see of humanity today. I would like to see some real heroes again.... I'm also tired of this style of uneven direction and editing..... sadly, it does keep some interest but I wish I didn't watch it, ESPECIALLY before going to sleep."
"Oct 23, 2022",POSITIVE,Finally a good movie that we can talk about in real adult conversations.
"Oct 18, 2022",NEGATIVE,"Rough intro. Too many scenes with too much going on at once. I get the whole chaotic and anxious mood setting but it was over the top. Should have been depected much differently. Most of the soundtrack didnt match the feel of the movie at all. Camera work made some scenes hard to watch. Adam Sandler was by far the best part. The relationship between Howard and Julia was great. Ending was decent, but felt rushed. Should of shortened some of the middle and extended the ending. It was an interesting movie, but not one I'd watch again."
"May 28, 2020",NEUTRAL,"Adam Sandler gives us what he's made of. The movie definitely delivers in terms of unpredictability, suspense and drama."
"May 28, 2020",NEGATIVE,Loud and obnoxious movie.  Low on plot.  One of the most annoying soundtracks I've ever heard.
"May 28, 2020",NEGATIVE,This movie had campy 80s porn music playing throughout the entire thing and the dialouge was rough to follow. It was an hour plus of noise and Adam Sandler also making noise.
"May 28, 2020",NEUTRAL,"I read all about it, I didn’t see it until Netflix and I made it through the first 20 minutes and I’ll admit I was a bit apprehensive, but this is a pretty good movie. I also have a tolerance for Sandler and the criticisms of his constant outbursts unphase me in that department. There Is a quiet dark comedy in watching Sandler flip out on someone or witnessing his constant angst against his girlfriend and we are constantly reminded why his current wife wants to quit him altogether. Sandler is running multiple circuses and he is the ringmaster of one while jumping through hoops like a lion in others. The movie feels like a Stanley Kubrick / Michael Mann / Terry Gilliam Adventure. Low budget, and heavy dialogue is hard to carry for 2 + hours. Really good movie that has replay value like Fear and Loathing. Kevin Garnett was great too. "
"May 28, 2020",NEGATIVE,Garbage. Don’t wast your time. This is the worst movie I’ve seen in +10 years. I turned it off after 10 minutes.
"May 28, 2020",NEGATIVE,"This was the worst movie I've ever seen. Do not watch it. It's right up there with ""The Room"". This is 2 hours of your life you will never get back"
"May 28, 2020",NEGATIVE,Hass to be the worst movie that I have to see in 2020. I regret it for a long time missing out on this movie in the theater because I was hoping to see Adam Sandler in a very exciting role. But now I'm glad I waited to watch on Netflix and I'm pissed off that I wasted two hours of my life to this movie. I think I would've lived a better life now if I did not watch it. Adam Sandler would've been better if he did another Comedy. This movie is a sick joke.
"May 28, 2020",NEGATIVE,"I barely made it halfway through this tripe before turning it off, the whole time I was waiting for something meaningful to happen. If I wanted to watch someone struggle through life with money and terrible choices I'd film myself. Adam Sandler has never and will never be entertaining in a serious role."
"May 28, 2020",NEGATIVE,"This movie was awful, and I'm a big Adam Sandler fan usually."
"May 28, 2020",NEGATIVE,I can get similar suspense watching Maury on weekdays during my lunch break.  Don't waste your time.
"May 27, 2020",POSITIVE,Very high-paced and filled with back-and-forth excitement! I came out of it surprisingly pleased! Adam Sandler nails the role!
"May 27, 2020",NEGATIVE,WORST MOVIE EVER!!!!! There is no way any sensible person could think otherwise
"May 27, 2020",POSITIVE,"Adam Sandler made an awesome flick, and acted one better...

Great movie"
"May 27, 2020",NEGATIVE,"Sandler needs to stick with comedies. Every serious style he has made has been unwatchable. This one is no different. Love him but please, enough with you trying to be serious."
"May 27, 2020",NEGATIVE,Movie story line drags! Acting is pretty bad 
"May 27, 2020",NEUTRAL,"That was a good movie. I had a long, pithy film-critic review ready to post, but I'm just going with ""This was a good movie."""
"May 27, 2020",POSITIVE,This movie is one of the biggest Oscar snubs in recent memory. Adam Sandler has such a understanding of this character and the direction this movie goes and the journey it takes you on is phenomenal.
"May 27, 2020",POSITIVE,"This movie is what film fans love. A film that gets you inside of the character's head, the way they feel and takes you on a ride with them. Sadler gives an amazing performance and the directing, sound design, soundtrack, side characters, and editing are all top notch."
"May 27, 2020",NEGATIVE,One of the worst movies I've ever seen. It literally gave my wife and I headaches. We kept waiting for it to get better and it doesn't.
"May 27, 2020",POSITIVE,"Great performance by Adam Sandler.  I have never found his comedies funny, at all.  But his dramas have often been pretty good.  This is a little hard to watch.  Anti-heroes are tough to begin with, but this one includes so much self-destructive behavior that I never found myself rooting for Howard in the least.  But I did want to see what would happen next, which is an important characteristic for a film."
"May 26, 2020",NEGATIVE,"Nothing happened.  This was such a lackluster movie.  2 hours of my life I will never get back.  I love Adam, he has made some incredible movies...but this one was a total bust."
"May 26, 2020",POSITIVE,"Without question the best acting ever by Adam Sandler but also every single character in this film. It is such a visceral experience, get ready to put on your seatbelt and just go with it."
"May 26, 2020",NEGATIVE,"A good sign of what's to come is the fact that the first time we see Howard he is getting a colonoscopy. This movie is a two hour assault on the senses, and it's just too much. The constant yelling was very grating. Adam Sandler is channeling Al Pacino in his performance, and his character is not at all likable. I was relieved when it was over. The final Celtics game is pretty tense, but that was really the only part I liked. I will give it this: it's not a movie you can be ambivalent about. You either love it or hate it. And I fall on the latter side."
"May 26, 2020",NEUTRAL,"This movie was just really annoying to me. I didn't like Howard, I found him very unlikeable and so were the guys against him. 
The majority of this movie is just Adam Sandler yelling at people with some sort of Jersey accent and the first time the arguing happened it was entertaining but after the 20th tome of the same type of argument and dialogue it got really annoying. 
And the acting wasn't that good. I mean Adam Sandler played the yelling parts extremely well but that short crying scene was honestly cringe worthy.
I wouldn't recommend watching it to be honest, I got nothing about it but 2 hours I could've spent sleeping."
"May 26, 2020",POSITIVE,"Yeah, indeed you feel your head spinning while following this movie, but hey that’s exactly what great movies are supposed to do: make the movie-goers feel all the emotions, immerse themselves into the lives of the characters, and it’s being a while since a movie had made me feel that uncomfortable and anxious. Great job, Sandler. Can’t believe this is the guy behind Click and Zohan."
"May 26, 2020",POSITIVE,"A fantastic direction of artistic talent and a excellent portrayal of just how complex the world is, while complimenting the actors roles very proportionally! Great film!"
"May 26, 2020",NEGATIVE,Garbage language garbage story annoying lead actor; muddled 2 hours of no plot
"May 26, 2020",POSITIVE,"This was incredibly stressful to watch, but wow, I don't think I've ever had such a visceral reaction to a movie before. I'm not sure I'd want to watch this again, but goodness, what an artistic accomplishment. Just an excellent movie."
"May 26, 2020",POSITIVE,"Adam Sandler proves that, when given the right material, he is a formidable actor (and this might be his best work), and the Safdie Brothers helm the direction that will tear your nerves to shreads."
"May 26, 2020",NEGATIVE,"The movie had the most annoying voices I have heard in a long time.
The main character is hideous."
"May 26, 2020",NEGATIVE,Should have just called it over talking the movie.
"May 26, 2020",NEGATIVE,If you like watching people yell at each other while not listening to each other this is for you. This is also the definition of an idiot plot.
"May 26, 2020",POSITIVE,absolutely love it I was on the edge of my seat half-way true it this guy's are great they take actors I don't really like and make them good.
"May 26, 2020",NEUTRAL,There's a whole lot going on. Stay with it. Adam is the best.
